event_id,event_date,user_id,experiment_group,trigger_type,restaurant_id,event_type,note
E00000036,2026-04-03,U001275,treatment,cadence,R00142,trigger_evaluated,fired
E00000037,2026-04-03,U001275,treatment,cadence,R00142,nudge_sent,
E00000038,2026-04-03,U001275,treatment,cadence,R00142,nudge_opened,
E00000039,2026-04-03,U001275,treatment,cadence,R00142,nudge_dismissed,opened_no_order
E00000040,2026-04-03,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000041,2026-04-03,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000042,2026-04-03,U001509,treatment,cadence,R00035,trigger_evaluated,fired
E00000043,2026-04-03,U001509,treatment,cadence,R00035,nudge_sent,
E00000044,2026-04-03,U001509,treatment,cadence,R00035,nudge_dismissed,not_opened
E00000045,2026-04-03,U001689,holdout,cadence,R00117,trigger_evaluated,fired
E00000046,2026-04-03,U001734,holdout,cadence,R00094,trigger_evaluated,fired
E00000047,2026-04-03,U001927,treatment,cadence,R00083,trigger_evaluated,fired
E00000048,2026-04-03,U001927,treatment,cadence,R00083,nudge_sent,
E00000049,2026-04-03,U001927,treatment,cadence,R00083,nudge_dismissed,not_opened
E00000050,2026-04-04,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000051,2026-04-04,U000283,holdout,cadence,R00064,trigger_evaluated,fired
E00000052,2026-04-04,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000053,2026-04-04,U001064,holdout,cadence,R00093,trigger_evaluated,fired
E00000054,2026-04-04,U001221,holdout,cadence,R00093,trigger_evaluated,fired
E00000055,2026-04-04,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000056,2026-04-04,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000057,2026-04-04,U001675,holdout,cadence,R00086,trigger_evaluated,fired
E00000058,2026-04-05,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000059,2026-04-05,U000232,treatment,day_of_week,R00072,trigger_evaluated,suppressed:frequency_cap
E00000060,2026-04-05,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000061,2026-04-05,U000928,treatment,day_of_week,R00138,trigger_evaluated,fired
E00000062,2026-04-05,U000928,treatment,day_of_week,R00138,nudge_sent,
E00000063,2026-04-05,U000928,treatment,day_of_week,R00138,nudge_dismissed,not_opened
E00000064,2026-04-05,U001221,holdout,cadence,R00093,trigger_evaluated,fired
E00000065,2026-04-05,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000066,2026-04-05,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000067,2026-04-05,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000068,2026-04-05,U001675,holdout,cadence,R00086,trigger_evaluated,fired
E00000069,2026-04-06,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000070,2026-04-06,U000334,treatment,cadence,R00039,trigger_evaluated,fired
E00000071,2026-04-06,U000334,treatment,cadence,R00039,nudge_sent,
E00000072,2026-04-06,U000334,treatment,cadence,R00039,nudge_dismissed,not_opened
E00000073,2026-04-06,U000432,treatment,cadence,R00051,trigger_evaluated,fired
E00000074,2026-04-06,U000432,treatment,cadence,R00051,nudge_sent,
E00000075,2026-04-06,U000432,treatment,cadence,R00051,nudge_opened,
E00000076,2026-04-06,U000432,treatment,cadence,R00051,nudge_dismissed,opened_no_order
E00000077,2026-04-06,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000078,2026-04-06,U000619,treatment,cadence,R00089,trigger_evaluated,fired
E00000079,2026-04-06,U000619,treatment,cadence,R00089,nudge_sent,
E00000080,2026-04-06,U000619,treatment,cadence,R00089,nudge_dismissed,not_opened
E00000081,2026-04-06,U001102,treatment,cadence,R00080,trigger_evaluated,fired
E00000082,2026-04-06,U001102,treatment,cadence,R00080,nudge_sent,
E00000083,2026-04-06,U001102,treatment,cadence,R00080,nudge_dismissed,not_opened
E00000084,2026-04-06,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000085,2026-04-06,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000086,2026-04-06,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000087,2026-04-06,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000088,2026-04-06,U001988,holdout,cadence,R00109,trigger_evaluated,fired
E00000089,2026-04-07,U000009,treatment,cadence,R00030,trigger_evaluated,fired
E00000090,2026-04-07,U000009,treatment,cadence,R00030,nudge_sent,
E00000091,2026-04-07,U000009,treatment,cadence,R00030,nudge_dismissed,not_opened
E00000092,2026-04-07,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000093,2026-04-07,U000233,holdout,cadence,R00090,trigger_evaluated,fired
E00000094,2026-04-07,U000450,treatment,cadence,R00149,trigger_evaluated,fired
E00000095,2026-04-07,U000450,treatment,cadence,R00149,nudge_sent,
E00000096,2026-04-07,U000450,treatment,cadence,R00149,nudge_dismissed,not_opened
E00000097,2026-04-07,U000465,treatment,cadence,R00047,trigger_evaluated,fired
E00000098,2026-04-07,U000465,treatment,cadence,R00047,nudge_sent,
E00000099,2026-04-07,U000465,treatment,cadence,R00047,nudge_opened,
E00000100,2026-04-07,U000465,treatment,cadence,R00047,nudge_dismissed,opened_no_order
E00000101,2026-04-07,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000102,2026-04-07,U000514,holdout,cadence,R00053,trigger_evaluated,fired
E00000103,2026-04-07,U000603,holdout,cadence,R00090,trigger_evaluated,fired
E00000104,2026-04-07,U000672,holdout,cadence,R00047,trigger_evaluated,fired
E00000105,2026-04-07,U001006,treatment,cadence,R00008,trigger_evaluated,fired
E00000106,2026-04-07,U001006,treatment,cadence,R00008,nudge_sent,
E00000107,2026-04-07,U001006,treatment,cadence,R00008,nudge_dismissed,not_opened
E00000108,2026-04-07,U001103,treatment,cadence,R00031,trigger_evaluated,fired
E00000109,2026-04-07,U001103,treatment,cadence,R00031,nudge_sent,
E00000110,2026-04-07,U001103,treatment,cadence,R00031,nudge_dismissed,not_opened
E00000111,2026-04-07,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000112,2026-04-07,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000113,2026-04-07,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000114,2026-04-07,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000115,2026-04-07,U001689,holdout,cadence,R00117,trigger_evaluated,fired
E00000116,2026-04-07,U001739,treatment,cadence,R00033,trigger_evaluated,fired
E00000117,2026-04-07,U001739,treatment,cadence,R00033,nudge_sent,
E00000118,2026-04-07,U001739,treatment,cadence,R00033,nudge_opened,
E00000119,2026-04-07,U001739,treatment,cadence,R00033,nudge_dismissed,opened_no_order
E00000120,2026-04-07,U001888,treatment,cadence,R00008,trigger_evaluated,fired
E00000121,2026-04-07,U001888,treatment,cadence,R00008,nudge_sent,
E00000122,2026-04-07,U001888,treatment,cadence,R00008,nudge_opened,
E00000123,2026-04-07,U001888,treatment,cadence,R00008,nudge_dismissed,opened_no_order
E00000124,2026-04-07,U001988,holdout,cadence,R00109,trigger_evaluated,fired
E00000125,2026-04-08,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000126,2026-04-08,U000129,holdout,cadence,R00038,trigger_evaluated,fired
E00000127,2026-04-08,U000232,treatment,cadence,R00072,trigger_evaluated,fired
E00000128,2026-04-08,U000232,treatment,cadence,R00072,nudge_sent,
E00000129,2026-04-08,U000232,treatment,cadence,R00072,nudge_dismissed,not_opened
E00000130,2026-04-08,U000233,holdout,cadence,R00090,trigger_evaluated,fired
E00000131,2026-04-08,U000451,holdout,cadence,R00094,trigger_evaluated,fired
E00000132,2026-04-08,U000467,holdout,cadence,R00089,trigger_evaluated,fired
E00000133,2026-04-08,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000134,2026-04-08,U000514,holdout,cadence,R00053,trigger_evaluated,fired
E00000135,2026-04-08,U000603,holdout,cadence,R00090,trigger_evaluated,fired
E00000136,2026-04-08,U000780,treatment,cadence,R00059,trigger_evaluated,fired
E00000137,2026-04-08,U000780,treatment,cadence,R00059,nudge_sent,
E00000138,2026-04-08,U000780,treatment,cadence,R00059,nudge_dismissed,not_opened
E00000139,2026-04-08,U000928,treatment,cadence,R00138,trigger_evaluated,fired
E00000140,2026-04-08,U000928,treatment,cadence,R00138,nudge_sent,
E00000141,2026-04-08,U000928,treatment,cadence,R00138,nudge_dismissed,not_opened
E00000142,2026-04-08,U000958,holdout,cadence,R00047,trigger_evaluated,fired
E00000143,2026-04-08,U001275,treatment,cadence,R00142,trigger_evaluated,fired
E00000144,2026-04-08,U001275,treatment,cadence,R00142,nudge_sent,
E00000145,2026-04-08,U001275,treatment,cadence,R00142,nudge_dismissed,not_opened
E00000146,2026-04-08,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000147,2026-04-08,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000148,2026-04-08,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000149,2026-04-08,U001441,treatment,cadence,R00045,trigger_evaluated,fired
E00000150,2026-04-08,U001441,treatment,cadence,R00045,nudge_sent,
E00000151,2026-04-08,U001441,treatment,cadence,R00045,nudge_dismissed,not_opened
E00000152,2026-04-08,U001573,treatment,cadence,R00002,trigger_evaluated,fired
E00000153,2026-04-08,U001573,treatment,cadence,R00002,nudge_sent,
E00000154,2026-04-08,U001573,treatment,cadence,R00002,nudge_dismissed,not_opened
E00000155,2026-04-08,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000156,2026-04-09,U000015,holdout,cadence,R00145,trigger_evaluated,fired
E00000157,2026-04-09,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000158,2026-04-09,U000129,holdout,cadence,R00038,trigger_evaluated,fired
E00000159,2026-04-09,U000162,holdout,cadence,R00134,trigger_evaluated,fired
E00000160,2026-04-09,U000233,holdout,cadence,R00090,trigger_evaluated,fired
E00000161,2026-04-09,U000361,treatment,cadence,R00077,trigger_evaluated,fired
E00000162,2026-04-09,U000361,treatment,cadence,R00077,nudge_sent,
E00000163,2026-04-09,U000361,treatment,cadence,R00077,nudge_dismissed,not_opened
E00000164,2026-04-09,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000165,2026-04-09,U000514,holdout,cadence,R00053,trigger_evaluated,fired
E00000166,2026-04-09,U000655,holdout,cadence,R00069,trigger_evaluated,fired
E00000167,2026-04-09,U000725,holdout,cadence,R00076,trigger_evaluated,fired
E00000168,2026-04-09,U000832,holdout,cadence,R00122,trigger_evaluated,fired
E00000169,2026-04-09,U000958,holdout,cadence,R00047,trigger_evaluated,fired
E00000170,2026-04-09,U001009,treatment,cadence,R00106,trigger_evaluated,fired
E00000171,2026-04-09,U001009,treatment,cadence,R00106,nudge_sent,
E00000172,2026-04-09,U001009,treatment,cadence,R00106,nudge_dismissed,not_opened
E00000173,2026-04-09,U001028,holdout,cadence,R00032,trigger_evaluated,fired
E00000174,2026-04-09,U001124,treatment,cadence,R00075,trigger_evaluated,fired
E00000175,2026-04-09,U001124,treatment,cadence,R00075,nudge_sent,
E00000176,2026-04-09,U001124,treatment,cadence,R00075,nudge_dismissed,not_opened
E00000177,2026-04-09,U001221,holdout,cadence,R00093,trigger_evaluated,fired
E00000178,2026-04-09,U001263,holdout,cadence,R00080,trigger_evaluated,fired
E00000179,2026-04-09,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000180,2026-04-09,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000181,2026-04-09,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000182,2026-04-09,U001581,holdout,cadence,R00079,trigger_evaluated,fired
E00000183,2026-04-09,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000184,2026-04-10,U000012,holdout,cadence,R00084,trigger_evaluated,fired
E00000185,2026-04-10,U000015,holdout,cadence,R00145,trigger_evaluated,fired
E00000186,2026-04-10,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000187,2026-04-10,U000115,holdout,cadence,R00120,trigger_evaluated,fired
E00000188,2026-04-10,U000129,holdout,cadence,R00038,trigger_evaluated,fired
E00000189,2026-04-10,U000233,holdout,cadence,R00090,trigger_evaluated,fired
E00000190,2026-04-10,U000283,holdout,cadence,R00064,trigger_evaluated,fired
E00000191,2026-04-10,U000357,treatment,cadence,R00002,trigger_evaluated,fired
E00000192,2026-04-10,U000357,treatment,cadence,R00002,nudge_sent,
E00000193,2026-04-10,U000357,treatment,cadence,R00002,nudge_opened,
E00000194,2026-04-10,U000357,treatment,cadence,R00002,nudge_dismissed,opened_no_order
E00000195,2026-04-10,U000387,treatment,cadence,R00005,trigger_evaluated,fired
E00000196,2026-04-10,U000387,treatment,cadence,R00005,nudge_sent,
E00000197,2026-04-10,U000387,treatment,cadence,R00005,nudge_opened,
E00000198,2026-04-10,U000387,treatment,cadence,R00005,nudge_dismissed,opened_no_order
E00000199,2026-04-10,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000200,2026-04-10,U000523,holdout,cadence,R00125,trigger_evaluated,fired
E00000201,2026-04-10,U000582,treatment,cadence,R00049,trigger_evaluated,fired
E00000202,2026-04-10,U000582,treatment,cadence,R00049,nudge_sent,
E00000203,2026-04-10,U000582,treatment,cadence,R00049,nudge_dismissed,not_opened
E00000204,2026-04-10,U000629,holdout,cadence,R00037,trigger_evaluated,fired
E00000205,2026-04-10,U000655,holdout,cadence,R00069,trigger_evaluated,fired
E00000206,2026-04-10,U000725,holdout,cadence,R00076,trigger_evaluated,fired
E00000207,2026-04-10,U000732,treatment,cadence,R00067,trigger_evaluated,fired
E00000208,2026-04-10,U000732,treatment,cadence,R00067,nudge_sent,
E00000209,2026-04-10,U000732,treatment,cadence,R00067,nudge_dismissed,not_opened
E00000210,2026-04-10,U000737,treatment,cadence,R00148,trigger_evaluated,fired
E00000211,2026-04-10,U000737,treatment,cadence,R00148,nudge_sent,
E00000212,2026-04-10,U000737,treatment,cadence,R00148,nudge_dismissed,not_opened
E00000213,2026-04-10,U000786,treatment,cadence,R00034,trigger_evaluated,fired
E00000214,2026-04-10,U000786,treatment,cadence,R00034,nudge_sent,
E00000215,2026-04-10,U000786,treatment,cadence,R00034,nudge_dismissed,not_opened
E00000216,2026-04-10,U000807,treatment,cadence,R00075,trigger_evaluated,fired
E00000217,2026-04-10,U000807,treatment,cadence,R00075,nudge_sent,
E00000218,2026-04-10,U000807,treatment,cadence,R00075,nudge_dismissed,not_opened
E00000219,2026-04-10,U000832,holdout,cadence,R00122,trigger_evaluated,fired
E00000220,2026-04-10,U000939,treatment,cadence,R00038,trigger_evaluated,fired
E00000221,2026-04-10,U000939,treatment,cadence,R00038,nudge_sent,
E00000222,2026-04-10,U000939,treatment,cadence,R00038,nudge_dismissed,not_opened
E00000223,2026-04-10,U000994,holdout,cadence,R00056,trigger_evaluated,fired
E00000224,2026-04-10,U001028,holdout,cadence,R00032,trigger_evaluated,fired
E00000225,2026-04-10,U001221,holdout,cadence,R00093,trigger_evaluated,fired
E00000226,2026-04-10,U001263,holdout,cadence,R00080,trigger_evaluated,fired
E00000227,2026-04-10,U001297,treatment,cadence,R00019,trigger_evaluated,fired
E00000228,2026-04-10,U001297,treatment,cadence,R00019,nudge_sent,
E00000229,2026-04-10,U001297,treatment,cadence,R00019,nudge_dismissed,not_opened
E00000230,2026-04-10,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000231,2026-04-10,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000232,2026-04-10,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000233,2026-04-10,U001506,treatment,cadence,R00054,trigger_evaluated,fired
E00000234,2026-04-10,U001506,treatment,cadence,R00054,nudge_sent,
E00000235,2026-04-10,U001506,treatment,cadence,R00054,nudge_dismissed,not_opened
E00000236,2026-04-10,U001509,treatment,cadence,R00035,trigger_evaluated,fired
E00000237,2026-04-10,U001509,treatment,cadence,R00035,nudge_sent,
E00000238,2026-04-10,U001509,treatment,cadence,R00035,nudge_dismissed,not_opened
E00000239,2026-04-10,U001581,holdout,cadence,R00079,trigger_evaluated,fired
E00000240,2026-04-10,U001629,holdout,cadence,R00033,trigger_evaluated,fired
E00000241,2026-04-10,U001647,treatment,cadence,R00103,trigger_evaluated,fired
E00000242,2026-04-10,U001647,treatment,cadence,R00103,nudge_sent,
E00000243,2026-04-10,U001647,treatment,cadence,R00103,nudge_dismissed,not_opened
E00000244,2026-04-10,U001999,treatment,cadence,R00129,trigger_evaluated,fired
E00000245,2026-04-10,U001999,treatment,cadence,R00129,nudge_sent,
E00000246,2026-04-10,U001999,treatment,cadence,R00129,nudge_dismissed,not_opened
E00000247,2026-04-11,U000012,holdout,cadence,R00084,trigger_evaluated,fired
E00000248,2026-04-11,U000015,holdout,cadence,R00145,trigger_evaluated,fired
E00000249,2026-04-11,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000250,2026-04-11,U000115,holdout,cadence,R00120,trigger_evaluated,fired
E00000251,2026-04-11,U000129,holdout,cadence,R00038,trigger_evaluated,fired
E00000252,2026-04-11,U000283,holdout,cadence,R00064,trigger_evaluated,fired
E00000253,2026-04-11,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000254,2026-04-11,U000523,holdout,cadence,R00125,trigger_evaluated,fired
E00000255,2026-04-11,U000574,treatment,cadence,R00102,trigger_evaluated,fired
E00000256,2026-04-11,U000574,treatment,cadence,R00102,nudge_sent,
E00000257,2026-04-11,U000574,treatment,cadence,R00102,nudge_dismissed,not_opened
E00000258,2026-04-11,U000619,treatment,cadence,R00089,trigger_evaluated,fired
E00000259,2026-04-11,U000619,treatment,cadence,R00089,nudge_sent,
E00000260,2026-04-11,U000619,treatment,cadence,R00089,nudge_opened,
E00000261,2026-04-11,U000619,treatment,cadence,R00089,nudge_dismissed,opened_no_order
E00000262,2026-04-11,U000655,holdout,cadence,R00069,trigger_evaluated,fired
E00000263,2026-04-11,U000720,treatment,cadence,R00107,trigger_evaluated,fired
E00000264,2026-04-11,U000720,treatment,cadence,R00107,nudge_sent,
E00000265,2026-04-11,U000720,treatment,cadence,R00107,nudge_dismissed,not_opened
E00000266,2026-04-11,U000725,holdout,cadence,R00076,trigger_evaluated,fired
E00000267,2026-04-11,U000807,treatment,day_of_week,R00075,trigger_evaluated,fired
E00000268,2026-04-11,U000807,treatment,day_of_week,R00075,nudge_sent,
E00000269,2026-04-11,U000807,treatment,day_of_week,R00075,nudge_dismissed,not_opened
E00000270,2026-04-11,U000832,holdout,cadence,R00122,trigger_evaluated,fired
E00000271,2026-04-11,U000868,treatment,cadence,R00132,trigger_evaluated,fired
E00000272,2026-04-11,U000868,treatment,cadence,R00132,nudge_sent,
E00000273,2026-04-11,U000868,treatment,cadence,R00132,nudge_dismissed,not_opened
E00000274,2026-04-11,U000914,treatment,cadence,R00147,trigger_evaluated,fired
E00000275,2026-04-11,U000914,treatment,cadence,R00147,nudge_sent,
E00000276,2026-04-11,U000914,treatment,cadence,R00147,nudge_opened,
E00000277,2026-04-11,U000914,treatment,cadence,R00147,nudge_dismissed,opened_no_order
E00000278,2026-04-11,U000915,treatment,day_of_week,R00103,trigger_evaluated,fired
E00000279,2026-04-11,U000915,treatment,day_of_week,R00103,nudge_sent,
E00000280,2026-04-11,U000915,treatment,day_of_week,R00103,nudge_dismissed,not_opened
E00000281,2026-04-11,U000994,holdout,cadence,R00056,trigger_evaluated,fired
E00000282,2026-04-11,U001028,holdout,cadence,R00032,trigger_evaluated,fired
E00000283,2026-04-11,U001064,holdout,cadence,R00093,trigger_evaluated,fired
E00000284,2026-04-11,U001102,treatment,cadence,R00080,trigger_evaluated,fired
E00000285,2026-04-11,U001102,treatment,cadence,R00080,nudge_sent,
E00000286,2026-04-11,U001102,treatment,cadence,R00080,nudge_dismissed,not_opened
E00000287,2026-04-11,U001221,holdout,cadence,R00093,trigger_evaluated,fired
E00000288,2026-04-11,U001263,holdout,cadence,R00080,trigger_evaluated,fired
E00000289,2026-04-11,U001381,holdout,cadence,R00046,trigger_evaluated,fired
E00000290,2026-04-11,U001385,holdout,cadence,R00067,trigger_evaluated,fired
E00000291,2026-04-11,U001408,treatment,cadence,R00044,trigger_evaluated,fired
E00000292,2026-04-11,U001408,treatment,cadence,R00044,nudge_sent,
E00000293,2026-04-11,U001408,treatment,cadence,R00044,nudge_dismissed,not_opened
E00000294,2026-04-11,U001581,holdout,cadence,R00079,trigger_evaluated,fired
E00000295,2026-04-11,U001590,holdout,cadence,R00103,trigger_evaluated,fired
E00000296,2026-04-11,U001641,treatment,cadence,R00024,trigger_evaluated,fired
E00000297,2026-04-11,U001641,treatment,cadence,R00024,nudge_sent,
E00000298,2026-04-11,U001641,treatment,cadence,R00024,nudge_dismissed,not_opened
E00000299,2026-04-11,U001675,holdout,cadence,R00086,trigger_evaluated,fired
