order_id,user_id,restaurant_id,cuisine,order_datetime,order_dow,order_hour,is_weekend,is_rainy,is_regular_restaurant_for_user,gap_days_since_prev_order,item_count,items,cart_value_inr,restaurant_was_active
O0000096,U000009,R00030,Biryani,2026-04-03 15:00:00,4,15,True,False,True,3,3,Veg Biryani|Mutton Biryani|Egg Biryani,201.42,True
O0000097,U000009,R00132,Momos,2026-04-12 19:00:00,6,19,True,False,True,9,3,Fried Momos|Steamed Momos|Tandoori Momos,411.0,True
O0000098,U000009,R00132,Momos,2026-04-15 15:00:00,2,15,False,False,True,3,2,Tandoori Momos|Fried Momos,324.57,True
O0000099,U000009,R00091,Biryani,2026-04-17 20:00:00,4,20,True,False,True,2,2,Veg Biryani|Mutton Biryani,233.34,True
O0000100,U000009,R00132,Momos,2026-04-17 23:00:00,4,23,True,False,True,3,1,Steamed Momos,105.99,True
O0000101,U000009,R00030,Biryani,2026-04-18 23:00:00,5,23,True,False,False,1,2,Chicken Biryani|Veg Biryani,198.06,True
O0000102,U000009,R00093,Biryani,2026-05-02 19:00:00,5,19,True,False,False,14,3,Chicken Biryani|Egg Biryani|Veg Biryani,490.52,False
O0000103,U000009,R00091,Biryani,2026-05-01 21:00:00,4,21,True,False,True,1,3,Chicken Biryani|Mutton Biryani|Egg Biryani,344.12,True
O0000104,U000009,R00059,Chinese,2026-05-05 21:00:00,1,21,False,False,False,4,2,Fried Rice|Chilli Chicken,132.82,False
O0000105,U000009,R00091,Biryani,2026-05-15 21:00:00,4,21,True,False,True,7,2,Egg Biryani|Chicken Biryani,200.36,True
O0000106,U000009,R00093,Biryani,2026-05-22 23:00:00,4,23,True,False,False,7,1,Veg Biryani,136.37,False
O0000107,U000009,R00100,North Indian,2026-06-01 22:00:00,0,22,False,True,False,10,3,Paneer Tikka|Naan Combo|Butter Chicken,288.63,True
O0000108,U000009,R00030,Biryani,2026-06-07 23:00:00,6,23,True,False,True,6,2,Veg Biryani|Chicken Biryani,183.58,True
O0000109,U000009,R00132,Momos,2026-06-08 23:00:00,0,23,False,True,True,1,3,Fried Momos|Steamed Momos|Tandoori Momos,376.99,True
O0000110,U000009,R00091,Biryani,2026-06-12 23:00:00,4,23,True,False,True,5,1,Veg Biryani,163.08,True
O0000111,U000009,R00132,Momos,2026-06-19 21:00:00,4,21,True,True,True,10,2,Steamed Momos|Tandoori Momos,212.41,True
O0000112,U000009,R00024,North Indian,2026-06-25 18:00:00,3,18,False,False,False,6,2,Paneer Tikka|Naan Combo,137.95,True
O0000113,U000009,R00030,Biryani,2026-07-04 20:00:00,5,20,True,False,True,9,2,Chicken Biryani|Veg Biryani,213.24,True
O0000114,U000009,R00008,Fast Food,2026-07-06 16:00:00,0,16,False,False,False,2,2,Chicken Wrap|Cheese Sandwich,136.04,True
O0000115,U000009,R00132,Momos,2026-07-10 21:00:00,4,21,True,False,True,3,1,Steamed Momos,97.95,True
O0000116,U000009,R00091,Biryani,2026-07-14 23:00:00,1,23,False,True,True,4,2,Chicken Biryani|Mutton Biryani,242.99,True
O0000117,U000009,R00132,Momos,2026-07-24 19:00:00,4,19,True,False,True,10,3,Fried Momos|Tandoori Momos|Steamed Momos,316.58,True
O0000118,U000009,R00132,Momos,2026-07-26 16:00:00,6,16,True,False,True,2,3,Tandoori Momos|Fried Momos|Steamed Momos,471.62,True
O0000119,U000009,R00091,Biryani,2026-07-31 18:00:00,4,18,True,False,True,2,3,Egg Biryani|Veg Biryani|Chicken Biryani,489.19,True
O0000120,U000009,R00030,Biryani,2026-08-02 23:00:00,6,23,True,True,True,2,1,Egg Biryani,63.03,True
O0000121,U000009,R00132,Momos,2026-08-03 17:00:00,0,17,False,False,True,1,1,Steamed Momos,121.88,True
O0000122,U000009,R00132,Momos,2026-08-04 20:00:00,1,20,False,False,True,1,2,Tandoori Momos|Fried Momos,274.54,True
O0000123,U000009,R00030,Biryani,2026-08-07 17:00:00,4,17,True,False,True,3,3,Mutton Biryani|Chicken Biryani|Veg Biryani,325.16,True
O0000124,U000009,R00132,Momos,2026-08-13 18:00:00,3,18,False,False,False,6,2,Fried Momos|Tandoori Momos,224.23,True
O0000125,U000009,R00009,Fast Food,2026-08-15 19:00:00,5,19,True,False,False,2,3,Burger Combo|Chicken Wrap|Cheese Sandwich,408.0,True
O0000126,U000009,R00030,Biryani,2026-08-20 20:00:00,3,20,False,True,False,5,2,Veg Biryani|Chicken Biryani,123.42,True
O0000127,U000009,R00091,Biryani,2026-08-28 16:00:00,4,16,True,False,True,8,2,Mutton Biryani|Egg Biryani,248.75,True
O0000128,U000009,R00060,Pizza,2026-09-01 19:00:00,1,19,False,False,False,4,3,Margherita|Farmhouse Pizza|Pepperoni Pizza,267.77,True
O0000129,U000009,R00092,Rolls & Wraps,2026-09-09 19:00:00,2,19,False,True,False,8,3,Egg Roll|Paneer Roll|Chicken Roll,247.36,True
O0000130,U000010,R00104,South Indian,2026-04-06 23:00:00,0,23,False,False,True,7,2,Idli Sambar|Curd Rice,155.11,True
O0000131,U000010,R00091,Biryani,2026-04-12 23:00:00,6,23,True,False,False,6,3,Chicken Biryani|Mutton Biryani|Veg Biryani,400.38,True
O0000132,U000010,R00049,South Indian,2026-04-29 19:00:00,2,19,False,False,True,17,2,Uttapam|Masala Dosa,324.93,True
O0000133,U000010,R00113,Pizza,2026-05-06 18:00:00,2,18,False,False,True,7,1,Farmhouse Pizza,75.23,False
O0000134,U000010,R00104,South Indian,2026-05-08 23:00:00,4,23,True,True,True,2,3,Masala Dosa|Uttapam|Idli Sambar,262.88,True
O0000135,U000010,R00104,South Indian,2026-06-04 21:00:00,3,21,False,False,True,27,3,Idli Sambar|Uttapam|Curd Rice,273.77,True
O0000136,U000010,R00143,Pizza,2026-06-14 19:00:00,6,19,True,False,False,10,2,Margherita|Farmhouse Pizza,270.78,True
O0000137,U000010,R00049,South Indian,2026-06-27 16:00:00,5,16,True,True,True,13,3,Curd Rice|Masala Dosa|Uttapam,460.3,True
O0000138,U000010,R00006,Fast Food,2026-07-12 23:00:00,6,23,True,False,False,15,1,Loaded Fries,100.2,True
O0000139,U000010,R00113,Pizza,2026-08-03 18:00:00,0,18,False,False,True,20,3,Margherita|Pepperoni Pizza|Farmhouse Pizza,237.8,False
O0000140,U000010,R00049,South Indian,2026-08-03 23:00:00,0,23,False,False,True,2,2,Uttapam|Idli Sambar,274.33,True
O0000141,U000010,R00094,South Indian,2026-08-04 19:00:00,1,19,False,False,True,1,3,Masala Dosa|Curd Rice|Uttapam,384.92,True
O0000142,U000010,R00094,South Indian,2026-08-12 22:00:00,2,22,False,True,True,8,3,Idli Sambar|Masala Dosa|Uttapam,387.58,True
O0000143,U000010,R00113,Pizza,2026-08-20 18:00:00,3,18,False,True,True,8,1,Margherita,91.45,False
O0000144,U000010,R00006,Fast Food,2026-09-04 19:00:00,4,19,True,True,False,15,1,Cheese Sandwich,133.61,True
O0000145,U000011,R00018,Fast Food,2026-03-25 17:00:00,2,17,False,False,True,2,1,Chicken Wrap,64.73,True
O0000146,U000011,R00018,Fast Food,2026-04-03 19:00:00,4,19,True,False,True,8,3,Loaded Fries|Cheese Sandwich|Chicken Wrap,181.49,True
O0000147,U000011,R00018,Fast Food,2026-04-10 21:00:00,4,21,True,False,True,5,2,Cheese Sandwich|Loaded Fries,210.37,True
O0000148,U000011,R00017,Biryani,2026-04-24 18:00:00,4,18,True,False,True,14,3,Mutton Biryani|Egg Biryani|Veg Biryani,421.08,True
O0000149,U000011,R00018,Fast Food,2026-04-25 17:00:00,5,17,True,False,True,1,1,Burger Combo,96.74,True
O0000150,U000011,R00108,Fast Food,2026-04-28 18:00:00,1,18,False,False,False,3,1,Loaded Fries,114.88,True
O0000151,U000011,R00007,South Indian,2026-05-06 16:00:00,2,16,False,False,False,8,1,Curd Rice,108.17,True
O0000152,U000011,R00017,Biryani,2026-05-08 18:00:00,4,18,True,False,True,4,3,Egg Biryani|Mutton Biryani|Chicken Biryani,455.21,True
O0000153,U000011,R00018,Fast Food,2026-05-08 18:00:00,4,18,True,False,True,3,2,Chicken Wrap|Cheese Sandwich,162.7,True
O0000154,U000011,R00138,Beverages,2026-05-22 15:00:00,4,15,True,False,False,14,1,Milkshake,86.49,True
O0000155,U000011,R00108,Fast Food,2026-06-06 17:00:00,5,17,True,True,True,15,1,Chicken Wrap,168.31,True
O0000156,U000011,R00018,Fast Food,2026-06-12 18:00:00,4,18,True,True,True,6,1,Cheese Sandwich,92.9,True
O0000157,U000011,R00017,Biryani,2026-06-26 21:00:00,4,21,True,False,True,15,3,Egg Biryani|Chicken Biryani|Mutton Biryani,425.67,True
O0000158,U000011,R00018,Fast Food,2026-07-17 20:00:00,4,20,True,True,True,21,2,Cheese Sandwich|Burger Combo,122.23,True
O0000159,U000011,R00084,Pizza,2026-07-25 21:00:00,5,21,True,True,False,8,1,Pepperoni Pizza,132.09,True
O0000160,U000011,R00108,Fast Food,2026-08-07 18:00:00,4,18,True,False,True,13,1,Burger Combo,105.26,True
O0000161,U000011,R00018,Fast Food,2026-08-13 23:00:00,3,23,False,False,True,6,3,Loaded Fries|Burger Combo|Cheese Sandwich,313.4,True
O0000162,U000011,R00108,Fast Food,2026-08-28 21:00:00,4,21,True,False,True,13,2,Chicken Wrap|Burger Combo,195.81,True
O0000163,U000011,R00018,Fast Food,2026-09-03 20:00:00,3,20,False,False,True,6,1,Chicken Wrap,85.57,True
O0000164,U000011,R00017,Biryani,2026-09-12 22:00:00,5,22,True,False,True,9,2,Chicken Biryani|Veg Biryani,264.13,True
O0000165,U000012,R00084,Pizza,2026-03-25 23:00:00,2,23,False,True,False,2,1,Margherita,127.3,True
O0000166,U000012,R00017,Biryani,2026-03-27 22:00:00,4,22,True,True,True,2,2,Chicken Biryani|Mutton Biryani,210.59,True
O0000167,U000012,R00007,South Indian,2026-04-03 19:00:00,4,19,True,False,True,7,1,Uttapam,72.19,True
O0000168,U000012,R00068,Pizza,2026-04-13 22:00:00,0,22,False,False,False,10,2,Farmhouse Pizza|Margherita,168.33,True
O0000169,U000012,R00007,South Indian,2026-04-14 21:00:00,1,21,False,False,True,1,1,Idli Sambar,76.54,True
O0000170,U000012,R00087,South Indian,2026-04-17 17:00:00,4,17,True,False,True,2,1,Idli Sambar,119.58,True
O0000171,U000012,R00047,South Indian,2026-05-01 21:00:00,4,21,True,False,True,14,1,Curd Rice,112.32,True
O0000172,U000012,R00007,South Indian,2026-05-15 22:00:00,4,22,True,False,True,11,2,Curd Rice|Idli Sambar,187.76,True
O0000173,U000012,R00007,South Indian,2026-05-25 22:00:00,0,22,False,False,True,10,3,Curd Rice|Uttapam|Masala Dosa,268.92,True
O0000174,U000012,R00122,North Indian,2026-05-29 19:00:00,4,19,True,False,True,3,1,Naan Combo,103.63,True
O0000175,U000012,R00007,South Indian,2026-06-05 23:00:00,4,23,True,False,False,7,1,Curd Rice,80.07,True
O0000176,U000012,R00122,North Indian,2026-06-09 23:00:00,1,23,False,False,True,4,1,Dal Makhani,88.32,True
O0000177,U000012,R00087,South Indian,2026-06-12 18:00:00,4,18,True,False,True,6,3,Uttapam|Masala Dosa|Idli Sambar,410.46,True
O0000178,U000012,R00087,South Indian,2026-06-13 22:00:00,5,22,True,False,True,1,3,Curd Rice|Idli Sambar|Masala Dosa,350.8,True
O0000179,U000012,R00047,South Indian,2026-06-26 19:00:00,4,19,True,True,True,10,3,Uttapam|Masala Dosa|Idli Sambar,504.61,True
O0000180,U000012,R00007,South Indian,2026-06-30 20:00:00,1,20,False,False,True,4,3,Curd Rice|Idli Sambar|Masala Dosa,203.22,True
O0000181,U000012,R00007,South Indian,2026-07-17 16:00:00,4,16,True,False,True,16,2,Curd Rice|Idli Sambar,122.25,True
O0000182,U000012,R00108,Fast Food,2026-07-19 21:00:00,6,21,True,True,False,2,3,Burger Combo|Cheese Sandwich|Loaded Fries,518.19,True
O0000183,U000012,R00068,Pizza,2026-07-30 18:00:00,3,18,False,False,False,11,2,Pepperoni Pizza|Margherita,147.57,True
O0000184,U000012,R00007,South Indian,2026-08-01 19:00:00,5,19,True,False,True,2,3,Idli Sambar|Curd Rice|Masala Dosa,198.73,True
O0000185,U000012,R00041,Rolls & Wraps,2026-08-04 16:00:00,1,16,False,False,False,3,2,Egg Roll|Paneer Roll,162.28,True
O0000186,U000012,R00087,South Indian,2026-08-07 19:00:00,4,19,True,True,True,6,3,Uttapam|Masala Dosa|Idli Sambar,497.14,True
O0000187,U000012,R00122,North Indian,2026-08-23 21:00:00,6,21,True,False,True,16,3,Paneer Tikka|Dal Makhani|Naan Combo,272.18,True
O0000188,U000012,R00087,South Indian,2026-09-05 17:00:00,5,17,True,False,True,13,1,Uttapam,156.13,True
O0000189,U000012,R00037,North Indian,2026-09-07 23:00:00,0,23,False,True,False,2,1,Butter Chicken,67.42,True
O0000190,U000012,R00122,North Indian,2026-09-11 22:00:00,4,22,True,False,True,5,2,Naan Combo|Butter Chicken,158.18,True
O0000191,U000013,R00121,Momos,2026-04-10 20:00:00,4,20,True,False,False,13,3,Tandoori Momos|Fried Momos|Steamed Momos,319.05,True
O0000192,U000013,R00001,Fast Food,2026-04-16 19:00:00,3,19,False,False,True,5,3,Cheese Sandwich|Loaded Fries|Chicken Wrap,416.94,True
O0000193,U000013,R00064,Beverages,2026-04-22 21:00:00,2,21,False,False,False,6,3,Cold Coffee|Milkshake|Fresh Juice,382.32,True
O0000194,U000013,R00001,Fast Food,2026-05-07 15:00:00,3,15,False,False,True,13,1,Loaded Fries,123.76,True
O0000195,U000013,R00001,Fast Food,2026-06-04 21:00:00,3,21,False,True,True,27,1,Loaded Fries,133.17,True
O0000196,U000013,R00099,Pizza,2026-06-11 17:00:00,3,17,False,False,True,6,3,Pepperoni Pizza|Farmhouse Pizza|Margherita,348.64,True
O0000197,U000013,R00110,Chinese,2026-06-24 15:00:00,2,15,False,False,False,13,1,Chilli Chicken,175.39,True
O0000198,U000013,R00106,Pizza,2026-06-25 15:00:00,3,15,False,False,True,4,2,Pepperoni Pizza|Margherita,171.06,True
O0000199,U000013,R00106,Pizza,2026-06-30 22:00:00,1,22,False,False,True,5,3,Farmhouse Pizza|Margherita|Pepperoni Pizza,246.34,True
O0000200,U000013,R00089,Biryani,2026-07-14 15:00:00,1,15,False,True,False,14,3,Mutton Biryani|Egg Biryani|Veg Biryani,388.88,True
O0000201,U000013,R00099,Pizza,2026-07-20 22:00:00,0,22,False,False,True,6,2,Margherita|Farmhouse Pizza,248.25,True
O0000202,U000013,R00106,Pizza,2026-08-06 19:00:00,3,19,False,False,True,14,3,Farmhouse Pizza|Pepperoni Pizza|Margherita,269.14,True
O0000203,U000013,R00053,Rolls & Wraps,2026-08-14 21:00:00,4,21,True,False,False,8,3,Paneer Roll|Egg Roll|Chicken Roll,438.82,True
